"Date","Price","Open","High","Low","Vol.","Change %"
"16-10-2024","2,708.15","2,680.00","2,728.00","2,675.25","10.02M","0.75%"
"15-10-2024","2,688.05","2,717.05","2,743.40","2,681.40","16.88M","-2.08%"
"14-10-2024","2,745.05","2,758.90","2,760.15","2,736.50","6.11M","0.03%"
"11-10-2024","2,744.20","2,740.00","2,766.55","2,737.65","3.99M","0.08%"
"10-10-2024","2,742.10","2,760.05","2,772.00","2,738.85","11.18M","-0.26%"
"09-10-2024","2,749.20","2,795.05","2,801.95","2,745.00","7.16M","-1.63%"
"08-10-2024","2,794.70","2,745.95","2,802.00","2,730.20","8.51M","1.94%"
"07-10-2024","2,741.45","2,787.00","2,793.00","2,722.75","11.09M","-1.14%"
"04-10-2024","2,773.05","2,807.85","2,834.70","2,763.55","18.54M","-1.45%"
"03-10-2024","2,813.95","2,873.15","2,898.80","2,804.15","18.88M","-3.95%"
"01-10-2024","2,929.65","2,961.30","2,975.90","2,925.65","8.22M","-0.80%"
"30-09-2024","2,953.15","3,038.80","3,049.95","2,948.80","13.50M","-3.25%"
"27-09-2024","3,052.35","2,998.00","3,066.95","2,984.00","10.30M","1.88%"
"26-09-2024","2,995.90","2,981.30","3,008.00","2,976.10","9.41M","0.27%"
"25-09-2024","2,987.90","2,967.80","2,993.00","2,960.40","3.53M","0.31%"
"24-09-2024","2,978.75","2,977.00","3,001.00","2,975.75","8.57M","-0.27%"
"23-09-2024","2,986.75","2,982.00","3,003.00","2,977.90","4.42M","0.50%"
"20-09-2024","2,971.85","2,948.00","2,990.00","2,942.75","15.45M","1.11%"
"19-09-2024","2,939.35","2,932.50","2,953.00","2,911.10","8.48M","0.43%"
"18-09-2024","2,926.90","2,940.00","2,964.00","2,921.10","4.29M","-0.60%"
"17-09-2024","2,944.60","2,948.00","2,954.95","2,933.25","2.97M","0.06%"
"16-09-2024","2,942.70","2,955.10","2,961.80","2,929.50","2.74M","-0.09%"
"13-09-2024","2,945.25","2,952.80","2,966.30","2,939.00","4.36M","-0.48%"
"12-09-2024","2,959.60","2,914.00","2,972.00","2,891.75","11.17M","1.95%"
"11-09-2024","2,903.00","2,926.10","2,937.50","2,895.10","4.88M","-0.69%"
"10-09-2024","2,923.05","2,921.00","2,944.10","2,915.15","5.38M","-0.06%"
"09-09-2024","2,924.90","2,933.00","2,939.85","2,911.20","4.51M","-0.16%"
"06-09-2024","2,929.65","2,985.00","2,994.00","2,923.25","9.70M","-1.89%"
"05-09-2024","2,985.95","3,038.10","3,051.55","2,974.10","8.13M","-1.42%"
"04-09-2024","3,029.10","3,001.40","3,035.00","2,999.00","5.99M","0.36%"
"03-09-2024","3,018.25","3,042.50","3,046.00","3,015.00","5.46M","-0.47%"
"02-09-2024","3,032.50","3,021.75","3,053.60","3,013.25","5.62M","0.44%"
"30-08-2024","3,019.25","3,068.00","3,079.45","3,006.65","20.81M","-0.74%"
"29-08-2024","3,041.85","3,006.20","3,074.00","2,988.00","19.17M","1.51%"
"28-08-2024","2,996.60","3,010.00","3,014.95","2,986.00","4.81M","-0.14%"
"27-08-2024","3,000.90","3,021.00","3,026.95","2,998.90","3.13M","-0.80%"
"26-08-2024","3,025.20","3,013.95","3,046.00","3,006.00","4.41M","0.84%"
"23-08-2024","2,999.95","3,007.50","3,022.65","2,996.85","4.62M","0.12%"
"22-08-2024","2,996.25","3,006.00","3,013.00","2,981.30","5.22M","-0.04%"
"21-08-2024","2,997.35","2,986.50","3,015.75","2,980.00","3.88M","0.18%"
"20-08-2024","2,991.90","2,994.45","3,007.85","2,980.05","4.21M","0.51%"
"19-08-2024","2,976.80","2,965.00","2,996.60","2,961.00","6.90M","0.69%"
"16-08-2024","2,956.40","2,937.30","2,960.80","2,916.10","4.71M","1.12%"
"14-08-2024","2,923.70","2,927.10","2,944.00","2,907.40","3.13M","-0.12%"
"13-08-2024","2,927.25","2,921.50","2,940.15","2,916.00","3.13M","0.21%"
"12-08-2024","2,921.25","2,940.00","2,946.00","2,915.50","4.09M","-0.93%"
"09-08-2024","2,948.60","2,920.00","2,953.00","2,912.00","3.12M","1.74%"
"08-08-2024","2,898.25","2,915.05","2,930.00","2,891.85","6.19M","-1.07%"
"07-08-2024","2,929.65","2,938.00","2,945.00","2,923.00","4.09M","0.60%"
"06-08-2024","2,912.10","2,910.30","2,955.00","2,902.65","5.12M","0.60%"
"05-08-2024","2,894.65","2,960.00","2,967.80","2,866.50","8.52M","-3.47%"
"02-08-2024","2,998.65","3,010.00","3,018.65","2,986.55","5.13M","-1.05%"
"01-08-2024","3,030.60","3,024.00","3,036.00","3,008.60","5.38M","0.66%"
"31-07-2024","3,010.85","3,008.00","3,020.90","3,002.30","5.03M","-0.51%"
"30-07-2024","3,026.30","3,034.05","3,050.00","3,020.00","4.11M","-0.46%"
"29-07-2024","3,040.20","3,023.90","3,055.00","3,023.55","3.77M","0.73%"
"26-07-2024","3,018.05","2,984.80","3,024.85","2,980.70","4.93M","1.11%"
