"Date","Price","Open","High","Low","Vol.","Change %"
"25-07-2024","2,984.80","2,962.00","3,000.95","2,954.15","6.26M","-0.22%"
"24-07-2024","2,991.40","2,970.00","3,019.00","2,952.80","5.96M","0.52%"
"23-07-2024","2,975.80","3,002.00","3,011.50","2,926.00","9.03M","-0.85%"
"22-07-2024","3,001.35","3,074.50","3,075.00","2,998.55","9.84M","-3.50%"
"19-07-2024","3,110.30","3,172.00","3,179.95","3,105.60","6.57M","-1.99%"
"18-07-2024","3,173.35","3,152.00","3,187.80","3,115.65","6.15M","0.66%"
"16-07-2024","3,152.50","3,187.00","3,200.00","3,138.25","4.69M","-1.31%"
"15-07-2024","3,194.45","3,208.90","3,211.70","3,171.00","2.66M","0.03%"
"12-07-2024","3,193.45","3,169.00","3,210.30","3,149.00","6.46M","1.02%"
"11-07-2024","3,161.30","3,175.00","3,208.50","3,141.00","5.97M","-0.23%"
"10-07-2024","3,168.45","3,190.00","3,195.00","3,126.30","3.57M","-0.38%"
"09-07-2024","3,180.55","3,195.20","3,201.00","3,161.00","3.48M","-0.66%"
"08-07-2024","3,201.80","3,178.00","3,217.60","3,165.05","4.75M","0.77%"
"05-07-2024","3,177.25","3,107.65","3,197.00","3,096.00","6.13M","2.23%"
"04-07-2024","3,108.05","3,114.00","3,135.00","3,101.60","3.42M","0.10%"
"03-07-2024","3,104.85","3,132.65","3,150.00","3,085.55","4.52M","-0.81%"
"02-07-2024","3,130.35","3,139.00","3,147.00","3,114.00","3.87M","0.32%"
"01-07-2024","3,120.30","3,125.05","3,158.80","3,111.35","3.86M","-0.34%"
"28-06-2024","3,130.80","3,062.05","3,162.00","3,062.05","14.48M","2.28%"
"27-06-2024","3,061.10","3,027.50","3,075.00","3,012.00","14.19M","1.09%"
"26-06-2024","3,028.05","2,892.10","3,037.95","2,890.25","11.01M","4.12%"
"25-06-2024","2,908.30","2,886.00","2,911.85","2,882.00","3.52M","0.88%"
"24-06-2024","2,882.95","2,891.05","2,899.00","2,875.00","4.44M","-0.88%"
"21-06-2024","2,908.40","2,947.25","2,949.40","2,881.15","15.59M","-1.32%"
"20-06-2024","2,947.40","2,918.00","2,965.70","2,900.20","8.06M","1.03%"
"19-06-2024","2,917.30","2,975.00","2,975.00","2,912.00","4.36M","-1.51%"
"18-06-2024","2,962.05","2,974.70","2,974.80","2,942.70","3.60M","0.24%"
"14-06-2024","2,955.10","2,940.00","2,959.35","2,914.45","4.08M","0.84%"
"13-06-2024","2,930.50","2,944.00","2,944.50","2,920.20","4.59M","0.13%"
"12-06-2024","2,926.65","2,915.00","2,952.00","2,910.35","5.04M","0.46%"
"11-06-2024","2,913.35","2,938.00","2,947.35","2,909.35","5.89M","-1.00%"
"10-06-2024","2,942.80","2,939.90","2,986.70","2,936.15","4.63M","0.10%"
"07-06-2024","2,939.90","2,857.00","2,944.00","2,853.00","9.28M","2.68%"
"06-06-2024","2,863.20","2,870.00","2,887.40","2,842.70","8.93M","0.76%"
"05-06-2024","2,841.50","2,844.00","2,862.30","2,768.20","8.73M","1.68%"
"04-06-2024","2,794.55","2,996.10","2,996.10","2,718.60","18.35M","-7.49%"
"03-06-2024","3,020.65","2,966.00","3,029.00","2,918.00","10.76M","5.59%"
"31-05-2024","2,860.80","2,862.60","2,884.50","2,844.50","15.53M","0.39%"
"30-05-2024","2,849.70","2,871.00","2,880.80","2,840.20","6.60M","-1.11%"
"29-05-2024","2,881.55","2,893.00","2,916.00","2,876.90","3.69M","-1.06%"
"28-05-2024","2,912.40","2,936.00","2,957.00","2,905.50","3.91M","-0.69%"
"27-05-2024","2,932.50","2,960.45","2,969.80","2,923.10","3.31M","-0.95%"
"24-05-2024","2,960.50","2,967.25","2,977.00","2,952.20","3.55M","-0.39%"
"23-05-2024","2,972.10","2,917.10","2,984.45","2,910.00","7.30M","1.74%"
"22-05-2024","2,921.30","2,872.55","2,937.55","2,872.55","5.14M","1.71%"
"21-05-2024","2,872.25","2,851.20","2,883.65","2,851.20","5.59M","0.09%"
"18-05-2024","2,869.65","2,875.00","2,879.00","2,865.40","213.02K","-0.06%"
"17-05-2024","2,871.40","2,846.10","2,874.40","2,826.50","5.46M","0.73%"
"16-05-2024","2,850.70","2,837.10","2,855.00","2,796.05","7.36M","0.64%"
"15-05-2024","2,832.55","2,841.00","2,859.95","2,826.05","2.52M","-0.27%"
"14-05-2024","2,840.15","2,801.95","2,854.15","2,800.05","3.59M","1.24%"
"13-05-2024","2,805.40","2,799.80","2,813.95","2,768.00","4.23M","-0.34%"
"10-05-2024","2,814.85","2,793.50","2,820.00","2,776.15","5.25M","0.95%"
"09-05-2024","2,788.25","2,826.00","2,847.50","2,780.00","5.50M","-1.72%"
"08-05-2024","2,837.10","2,795.00","2,865.90","2,795.00","4.72M","1.22%"
"07-05-2024","2,802.95","2,831.95","2,841.50","2,784.00","7.26M","-1.27%"
"06-05-2024","2,839.05","2,871.00","2,880.00","2,836.00","3.70M","-1.01%"
"03-05-2024","2,868.00","2,942.00","2,949.90","2,832.30","8.61M","-2.22%"
"02-05-2024","2,933.10","2,944.00","2,954.65","2,928.25","7.26M","-0.03%"
"30-04-2024","2,934.00","2,936.00","2,966.15","2,925.75","5.74M","0.13%"
"29-04-2024","2,930.05","2,900.00","2,935.80","2,900.00","3.62M","0.86%"
"26-04-2024","2,905.10","2,927.90","2,930.00","2,900.00","4.71M","-0.51%"
"25-04-2024","2,919.95","2,885.00","2,935.95","2,883.00","7.97M","0.68%"
"24-04-2024","2,900.35","2,927.00","2,937.10","2,899.00","5.23M","-0.63%"
"23-04-2024","2,918.65","2,958.00","2,987.00","2,911.10","7.30M","-1.39%"
"22-04-2024","2,959.70","2,944.90","2,965.65","2,935.60","5.18M","0.66%"
"19-04-2024","2,940.25","2,913.55","2,948.00","2,886.05","7.87M","0.40%"
"18-04-2024","2,928.65","2,927.00","2,972.00","2,918.70","9.50M","-0.10%"
"16-04-2024","2,931.50","2,906.70","2,942.35","2,901.85","4.68M","0.06%"
"15-04-2024","2,929.65","2,922.00","2,964.25","2,892.65","6.45M","-0.16%"
"12-04-2024","2,934.30","2,951.75","2,972.95","2,926.15","7.78M","-0.84%"
"10-04-2024","2,959.15","2,932.70","2,974.00","2,932.70","4.57M","1.09%"
"09-04-2024","2,927.30","2,978.00","2,979.60","2,925.00","3.54M","-1.50%"
"08-04-2024","2,971.95","2,925.95","2,981.95","2,922.00","4.18M","1.77%"
"05-04-2024","2,920.20","2,921.75","2,941.60","2,912.00","3.72M","-0.19%"
"04-04-2024","2,925.85","2,959.50","2,959.50","2,900.00","7.25M","-0.59%"
"03-04-2024","2,943.20","2,964.15","2,968.90","2,937.80","3.50M","-1.03%"
"02-04-2024","2,973.90","2,968.00","2,988.00","2,950.00","4.46M","0.15%"
"01-04-2024","2,969.55","2,984.95","2,987.95","2,965.00","2.51M","-0.07%"
"28-03-2024","2,971.70","2,985.75","3,011.90","2,957.30","10.93M","-0.47%"
"27-03-2024","2,985.70","2,896.00","3,000.00","2,894.00","8.16M","3.56%"
"26-03-2024","2,883.15","2,890.00","2,904.80","2,878.00","5.71M","-0.92%"
"22-03-2024","2,910.05","2,899.95","2,920.00","2,894.70","9.76M","0.28%"
"21-03-2024","2,901.95","2,905.05","2,915.80","2,889.35","6.50M","0.50%"
"20-03-2024","2,887.50","2,855.90","2,890.00","2,848.05","4.24M","1.30%"
"19-03-2024","2,850.50","2,857.50","2,875.20","2,834.50","4.14M","-0.99%"
"18-03-2024","2,878.95","2,840.00","2,883.45","2,833.05","4.58M","1.50%"
"15-03-2024","2,836.45","2,851.90","2,866.45","2,825.80","9.61M","-0.93%"
"14-03-2024","2,862.95","2,879.40","2,897.05","2,851.00","9.29M","-0.05%"
"13-03-2024","2,864.35","2,959.55","2,966.20","2,855.55","6.76M","-2.93%"
"12-03-2024","2,950.85","2,933.20","2,976.00","2,930.05","4.72M","0.60%"
"11-03-2024","2,933.20","2,978.00","2,978.00","2,927.00","5.64M","-0.83%"
"07-03-2024","2,957.85","3,005.95","3,006.20","2,951.10","4.16M","-1.60%"
"06-03-2024","3,006.00","2,986.90","3,018.00","2,957.00","3.90M","0.19%"
"05-03-2024","3,000.40","3,011.55","3,014.80","2,972.10","3.55M","-0.48%"
"04-03-2024","3,014.80","2,980.95","3,024.90","2,974.45","5.01M","1.17%"
"02-03-2024","2,980.00","2,979.00","3,000.50","2,976.25","356.21K","-0.14%"
"01-03-2024","2,984.25","2,927.00","3,000.00","2,925.00","6.07M","2.14%"
"29-02-2024","2,921.60","2,930.00","2,957.95","2,909.05","11.81M","0.36%"
"28-02-2024","2,911.25","2,966.00","2,982.55","2,900.35","4.32M","-2.02%"
"27-02-2024","2,971.30","2,966.05","2,999.90","2,956.10","5.41M","-0.11%"
"26-02-2024","2,974.65","2,987.10","2,989.05","2,965.00","3.76M","-0.42%"
"23-02-2024","2,987.25","2,979.00","2,995.10","2,966.70","7.22M","0.80%"
"22-02-2024","2,963.50","2,936.30","2,969.90","2,916.00","9.25M","0.96%"
"21-02-2024","2,935.40","2,948.00","2,977.05","2,915.10","6.36M","-0.23%"
"20-02-2024","2,942.05","2,950.05","2,951.00","2,923.60","3.56M","-0.20%"
"19-02-2024","2,948.00","2,924.10","2,959.00","2,907.05","3.36M","0.92%"
"16-02-2024","2,921.15","2,952.95","2,954.00","2,917.10","4.88M","-0.68%"
"15-02-2024","2,941.20","2,966.70","2,969.45","2,933.05","5.00M","-0.73%"
"14-02-2024","2,962.75","2,915.00","2,967.30","2,915.00","3.56M","1.11%"
"13-02-2024","2,930.20","2,911.00","2,958.00","2,908.00","3.86M","0.88%"
"12-02-2024","2,904.70","2,921.50","2,922.00","2,884.70","3.34M","-0.58%"
"09-02-2024","2,921.50","2,908.00","2,943.95","2,901.90","6.28M","0.73%"
"08-02-2024","2,900.25","2,900.00","2,918.95","2,855.05","7.35M","0.55%"
"07-02-2024","2,884.30","2,871.85","2,899.00","2,858.50","4.65M","1.01%"
"06-02-2024","2,855.60","2,883.70","2,883.70","2,839.65","4.52M","-0.78%"
"05-02-2024","2,878.05","2,921.50","2,941.00","2,863.05","4.41M","-1.28%"
"02-02-2024","2,915.40","2,866.35","2,949.80","2,866.35","9.83M","2.18%"
"01-02-2024","2,853.30","2,870.00","2,886.70","2,836.10","6.67M","0.00%"
"31-01-2024","2,853.25","2,808.00","2,868.50","2,805.00","7.57M","1.35%"
"30-01-2024","2,815.25","2,919.90","2,919.95","2,808.85","7.05M","-2.79%"
"29-01-2024","2,896.10","2,729.00","2,905.00","2,720.35","11.95M","7.02%"
"25-01-2024","2,706.15","2,685.90","2,728.30","2,670.40","5.90M","0.68%"
"24-01-2024","2,687.75","2,670.45","2,699.00","2,647.85","10.96M","1.15%"
"23-01-2024","2,657.15","2,743.50","2,743.50","2,645.10","10.03M","-2.07%"
"20-01-2024","2,713.30","2,730.00","2,766.95","2,700.00","3.64M","-0.79%"
"19-01-2024","2,734.90","2,752.00","2,752.00","2,718.00","5.21M","-0.04%"
"18-01-2024","2,735.90","2,702.80","2,742.00","2,702.50","5.14M","0.47%"
"17-01-2024","2,723.15","2,719.00","2,772.55","2,710.05","6.10M","-0.95%"
"16-01-2024","2,749.25","2,779.95","2,792.60","2,741.00","4.53M","-1.40%"
"15-01-2024","2,788.25","2,750.00","2,792.90","2,732.00","4.31M","1.71%"
"12-01-2024","2,741.45","2,719.80","2,746.65","2,691.50","7.51M","0.80%"
"11-01-2024","2,719.80","2,659.00","2,725.00","2,657.00","11.86M","2.63%"
"10-01-2024","2,650.10","2,577.00","2,659.00","2,575.05","5.55M","2.70%"
"09-01-2024","2,580.50","2,600.00","2,606.80","2,577.20","2.70M","-0.26%"
"08-01-2024","2,587.35","2,610.00","2,631.95","2,568.95","3.87M","-0.78%"
"05-01-2024","2,607.70","2,602.90","2,619.85","2,598.00","4.04M","0.43%"
"04-01-2024","2,596.65","2,588.00","2,609.85","2,579.10","4.81M","0.52%"
"03-01-2024","2,583.30","2,610.00","2,634.00","2,577.20","4.52M","-1.09%"
"02-01-2024","2,611.70","2,585.00","2,615.00","2,573.00","3.72M","0.83%"
"01-01-2024","2,590.25","2,580.55","2,606.85","2,573.15","2.02M","0.21%"
"29-12-2023","2,584.95","2,611.10","2,614.00","2,579.30","5.43M","-0.79%"
"28-12-2023","2,605.55","2,589.80","2,612.00","2,586.85","6.15M","0.72%"
"27-12-2023","2,586.85","2,582.00","2,599.90","2,573.10","4.60M","0.34%"
"26-12-2023","2,578.05","2,568.00","2,591.95","2,562.70","3.73M","0.51%"
"22-12-2023","2,565.05","2,559.60","2,580.90","2,547.65","8.27M","0.10%"
"21-12-2023","2,562.55","2,527.00","2,573.50","2,518.25","6.88M","1.40%"
"20-12-2023","2,527.15","2,571.05","2,598.85","2,520.00","8.87M","-1.21%"
"19-12-2023","2,558.10","2,555.00","2,573.90","2,525.20","8.41M","1.47%"
"18-12-2023","2,521.00","2,495.60","2,534.90","2,490.95","7.08M","1.02%"
"15-12-2023","2,495.60","2,478.00","2,500.00","2,470.05","7.97M","1.28%"
"14-12-2023","2,464.15","2,454.00","2,474.95","2,442.65","8.49M","1.24%"
"13-12-2023","2,433.95","2,422.00","2,438.35","2,406.30","5.02M","0.41%"
"12-12-2023","2,424.05","2,460.00","2,464.95","2,420.15","4.60M","-1.44%"
"11-12-2023","2,459.35","2,456.00","2,467.60","2,452.40","3.53M","0.15%"
"08-12-2023","2,455.75","2,463.85","2,476.70","2,445.00","5.10M","-0.05%"
"07-12-2023","2,457.05","2,460.00","2,460.95","2,442.00","4.07M","-0.16%"
"06-12-2023","2,461.10","2,447.10","2,472.95","2,435.00","8.21M","0.96%"
"05-12-2023","2,437.75","2,439.00","2,440.85","2,421.65","6.35M","0.73%"
"04-12-2023","2,420.20","2,450.00","2,450.00","2,398.60","7.80M","1.08%"
"01-12-2023","2,394.30","2,378.00","2,396.40","2,377.60","7.17M","0.71%"
"30-11-2023","2,377.45","2,394.70","2,400.70","2,369.90","14.22M","-0.97%"
"29-11-2023","2,400.70","2,408.00","2,411.95","2,398.05","6.27M","0.26%"
"28-11-2023","2,394.40","2,393.90","2,399.70","2,375.25","6.90M","0.02%"
"24-11-2023","2,393.90","2,391.60","2,402.60","2,391.05","3.37M","-0.07%"
"23-11-2023","2,395.50","2,388.20","2,400.00","2,388.20","4.27M","0.31%"
"22-11-2023","2,388.20","2,375.00","2,394.45","2,372.20","4.27M","0.39%"
"21-11-2023","2,378.90","2,366.00","2,388.00","2,360.20","4.11M","1.26%"
"20-11-2023","2,349.35","2,348.55","2,358.40","2,336.40","2.25M","-0.26%"
"17-11-2023","2,355.55","2,352.90","2,373.25","2,352.05","3.88M","-0.22%"
"16-11-2023","2,360.70","2,351.10","2,374.15","2,346.95","6.57M","0.18%"
"15-11-2023","2,356.45","2,340.00","2,361.95","2,327.00","6.11M","1.81%"
"13-11-2023","2,314.60","2,322.90","2,324.60","2,311.70","1.93M","-0.69%"
"12-11-2023","2,330.65","2,326.05","2,331.90","2,323.00","709.56K","0.68%"
"10-11-2023","2,314.90","2,305.55","2,316.35","2,298.05","3.87M","0.19%"
"09-11-2023","2,310.55","2,335.85","2,335.90","2,304.20","7.26M","-1.09%"
"08-11-2023","2,335.90","2,332.00","2,341.00","2,321.75","3.94M","0.52%"
"07-11-2023","2,323.80","2,334.05","2,339.10","2,319.55","3.48M","-0.65%"
"06-11-2023","2,339.00","2,332.30","2,340.00","2,325.60","5.32M","0.83%"
"03-11-2023","2,319.70","2,327.20","2,334.95","2,315.75","4.43M","-0.02%"
"02-11-2023","2,320.20","2,313.95","2,324.30","2,307.95","5.28M","0.99%"
"01-11-2023","2,297.40","2,289.15","2,317.50","2,275.20","5.15M","0.42%"
"31-10-2023","2,287.90","2,328.00","2,328.00","2,282.90","6.40M","-1.06%"
"30-10-2023","2,312.50","2,274.00","2,325.00","2,269.95","8.41M","2.06%"
"27-10-2023","2,265.80","2,240.00","2,273.50","2,235.95","5.89M","1.77%"
"26-10-2023","2,226.50","2,251.00","2,258.00","2,220.30","7.61M","-1.39%"
"25-10-2023","2,257.95","2,250.05","2,281.20","2,243.00","5.81M","-0.23%"
"23-10-2023","2,263.20","2,290.00","2,306.25","2,255.25","3.93M","-1.56%"
"20-10-2023","2,299.10","2,300.00","2,314.70","2,296.30","4.46M","-0.31%"
"19-10-2023","2,306.15","2,312.00","2,321.80","2,301.00","6.02M","-0.77%"
"18-10-2023","2,324.00","2,355.25","2,367.00","2,321.00","4.46M","-1.33%"
"17-10-2023","2,355.25","2,356.00","2,359.70","2,341.30","3.96M","0.48%"
"16-10-2023","2,344.05","2,345.00","2,354.55","2,336.00","2.96M","-0.22%"
